,texts,gender,country,filename
42,I get stressed when my nails are chipped and all I think about all day is going home to paint them,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
43,Where are fortune cookies these days,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
44,@LaraFleming8 @CiaraDalton ciara if you come into school with a bug,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
45,@cherhor0witz pic won't load but I know it's of me,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
46,My nails are too long to be playing guitar and they keep clipping the strings AGH,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
47,The Weeknd's new album has no flaws,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
48,Stressing over Christmas presents 😩,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
49,@CiiciiGrace Cecile you'll get a ticket to predebs please stop worrying !! 🙏🏻 @CiaraDalton,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
50,@AIannahC can't wait xx,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
51,@cherhor0witz she said she's going to the guards about you,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
52,Emily just referred to herself as a speedy young wan,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
53,Got a new charger and stole Ronan's earphones #livin,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
54,@LaraFleming8 @harlieduffy Thursday don't worry,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
55,"@harlieduffy 2 sentences have been written, if ur finished with ur motivation I'll have it tnx!!",female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
56,@harlieduffy I actually envy u so much having it done,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
57,Mint crisp is a beautiful bar,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
58,@CiaraDalton 89 beats per second :),female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
59,@cherhor0witz hahahahahahaha no that's hysterical I remember this exact moment,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
60,'Since U Been Gone' by Kelly Clarkson tricks you into thinking you can relate when you absolutely can't,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
61,Couldn't figure out why the toaster wasn't working then realised I forgot to put the bread in fml,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
62,Call me a princess but i cannot sleep with unfluffed pillows,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
63,@LaraFleming8 @CiaraDalton Oh every waking moment,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
64,The accuracy https://t.co/kUuHfwcerd,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
65,Real love by Tom Odell makes me so happy,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
66,@mooseblud I do not get how she does makeup at 7am WHAT IS THIS SORCERY @cherhor0witz,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
67,I was plan in my head in school the amazing study I'm going to do today and then I get home and I literally make any excuse to go to bed,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
68,"The fact when I was younger I literally stuck every poster in my magazines up on my walls, I'm sure Jamie Oliver was up there at one stage",female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
69,Why has Emily got 'Louis Theroux' written all over the history book she gave me,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
70,@cherhor0witz U brighten my day chick X,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
71,Can not wait to be back in London,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
72,@cherhor0witz ur the bomb,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
73,Actually adore my own company don't even care,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
74,Most relaxed I've felt on a Sunday in weeks,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
75,I love researching things,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
76,"Woke up still with a chewing gum I put in my mouth  before I fell asleep  , sickest thing ever",female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
77,How is Zara Larsson 18 and has such a successful career and is unreal I can't even make a decent sandwich get out,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
78,@AIannahC it's never too late to shun Zak,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
79,@LaraFleming8 So freakin mean,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
80,My earphones broke without consent,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
81,The majority of things that are funny to me involve me being annoying,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
82,@cherhor0witz @TheVampsBrad Brad actually was sitting on us and I kept pressing to take pics and I looked after and I had it on video 😊👌,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
83,And this was our perspective of it and we had a breakdown bye !! @cherhor0witz @TheVampsBrad https://t.co/wvHKeMK3WA,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
84,THIS IS ABSOLUTELY ME AND EMILY AND BRAD @TheVampsBrad https://t.co/8XQqcXh66g,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
85,My brothers going to the fantastic beasts premiere and basically has never seen Harry Potter bye deeply saddened,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
86,@CiaraDalton I'll personally be your tie assistant every morning,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
87,People who leave their school tie in one knot for the whole year give me anxiety,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
88,@CiaraDalton that's me with Beyoncé it's actually annoying !!,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
89,Wearing a new pair of fluffy socks to mark the occasion of exams being over la la la,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
90,Can't wait to walk out of LC history and say I'm not gonna dwell on the past anymore,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
91,@CiaraDalton you should actually go instead of Bulgaria,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
92,Tickets to go and watch Harry Potter in the 3 arena are 76 euro who is going to pay that to WATCH A MOVIE,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
93,Christmas hurry your pox,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
94,@cherhor0witz scratch me back there Ar xx,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
95,Have a love hate relationship with chemistry,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
96,'Is Kylie Jenner one of the kardashians that's what I've been wondering for ages I've been too afraid to ask anyone' - Ronan,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
97,We is going to Hudson la la la @karenganlyyy,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
98,Actually LOST MY LIFE when I found out @HudsonTaylor are coming !!!,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
99,@CiaraDalton literally no pens allowed,female,ireland,bf885df30b6b8641d5a71ca4b916d0c3
0,I've worn my new shoes for about 30 min total. 20 min of it was me driving. And it's already dirty. This has got to be a super power,female,australia,bcf471a8f9b4391c7d03379b2ae24739
1,Literally crying with tears down my cheeks lol,female,australia,bcf471a8f9b4391c7d03379b2ae24739
2,This morning I got to work and my coworkers told me to go on my fb to watch the video they sent and I cried of happiness bc corgis,female,australia,bcf471a8f9b4391c7d03379b2ae24739
3,Just booked gold class tickets for Beauty and the Beast yas,female,australia,bcf471a8f9b4391c7d03379b2ae24739
4,I JUST DROPPED MY BREAKFAST AND SPILT MY COFFEE ON MYSELF  HATE THE WORLD,female,australia,bcf471a8f9b4391c7d03379b2ae24739
5,"XXX Return of Xander Cage (at @eVent_Cinemas in Liverpool, NSW) https://t.co/PMhW20ZhHL",female,australia,bcf471a8f9b4391c7d03379b2ae24739
6,@hakuku man australia gets this movie so late makes me so mad??? We have to wait until March,female,australia,bcf471a8f9b4391c7d03379b2ae24739
7,@hakuku apparently a professional dog trainer/behaviour expert or something analysed the video and showed that it wasn't animal cruelty,female,australia,bcf471a8f9b4391c7d03379b2ae24739
8,I did things today https://t.co/iRprDroemL,female,australia,bcf471a8f9b4391c7d03379b2ae24739
9,Tu's incredible lack of knowledge about weddings is actually so adorable,female,australia,bcf471a8f9b4391c7d03379b2ae24739
10,Why do people only read headlines and not the articles omg,female,australia,bcf471a8f9b4391c7d03379b2ae24739
11,Coworker found this in the store and had to show it to me hahahaha new read for me https://t.co/ewNXqD9ma2,female,australia,bcf471a8f9b4391c7d03379b2ae24739
12,@maimishi the one I got had glitter!!!,female,australia,bcf471a8f9b4391c7d03379b2ae24739
13,Love my new shoes hehehehe https://t.co/LElA6aIlJb,female,australia,bcf471a8f9b4391c7d03379b2ae24739
14,@maimishi top shop has it for limited time!!! Go go go go!!!,female,australia,bcf471a8f9b4391c7d03379b2ae24739
15,"TU GOT ME THE G.E.M WIZARDMON GATOMON FIGURE. And cute shoes, Cap emoji and Red Hood minifig for our 400 days 😍 https://t.co/KlOtwdgOyQ",female,australia,bcf471a8f9b4391c7d03379b2ae24739
16,Just spent $100 on colour pop. Best new year's eve ever,female,australia,bcf471a8f9b4391c7d03379b2ae24739
17,the whole house smells like incense. happy chinese new year everyone,female,australia,bcf471a8f9b4391c7d03379b2ae24739
18,@_tsurea the line moved fast,female,australia,bcf471a8f9b4391c7d03379b2ae24739
19,@chicclown come to Sydney I need you to eat gaytime,female,australia,bcf471a8f9b4391c7d03379b2ae24739
20,@chicclown it was so good like gaytime is the best ice cream ever I can't believe you guys don't have it???,female,australia,bcf471a8f9b4391c7d03379b2ae24739
21,Yummy glittery golden gaytime 😩😍 https://t.co/sFGsIlsj5j,female,australia,bcf471a8f9b4391c7d03379b2ae24739
22,Couple selfies at the pylon lookout https://t.co/8AyLq9AMHr,female,australia,bcf471a8f9b4391c7d03379b2ae24739
23,Went to the Pylon Lookout today hehe https://t.co/ds8qf7pKZp,female,australia,bcf471a8f9b4391c7d03379b2ae24739
24,Stalking people's houses along the Harbour Bridge https://t.co/R8EuUeBdt2,female,australia,bcf471a8f9b4391c7d03379b2ae24739
25,Got my mecca beauty loop box wheeeee,female,australia,bcf471a8f9b4391c7d03379b2ae24739
26,Oh man tu is only part timer 2 courses at uni thus sem but has 4 day timetable so less time boo ):,female,australia,bcf471a8f9b4391c7d03379b2ae24739
27,instead of moving my original booking she just fucking deleted it i guess ugh,female,australia,bcf471a8f9b4391c7d03379b2ae24739
28,omg so they finally called me back and that dumb bitch didn't even book me in two weeks ago when i rang like fuck.,female,australia,bcf471a8f9b4391c7d03379b2ae24739
29,once my package ends i'm leaving ugh today is the 3rd strike and last straw,female,australia,bcf471a8f9b4391c7d03379b2ae24739
30,and i had a terrible experience my last booking and 2 week ago trying to change my booking like fuck this,female,australia,bcf471a8f9b4391c7d03379b2ae24739
31,"i've been a loyal custoner for like 4 years but ever since they moved to the new place, they've been unorganised as crap",female,australia,bcf471a8f9b4391c7d03379b2ae24739
32,i've been trying to ring my beautician all morning and i've run 9 times and it's ridiculous. why is no one picking up ugh,female,australia,bcf471a8f9b4391c7d03379b2ae24739
33,I love receiving make up in the mail 😍,female,australia,bcf471a8f9b4391c7d03379b2ae24739
34,I feel demotivated and ugly and it's just one of those nights 😢,female,australia,bcf471a8f9b4391c7d03379b2ae24739
35,But it's actually this. 6 years since its release https://t.co/oLbaHkaaRw,female,australia,bcf471a8f9b4391c7d03379b2ae24739
36,and not the group I went to Korea to attend their first solo concert. You'd think it'd be beast or infinite because it makes sense right,female,australia,bcf471a8f9b4391c7d03379b2ae24739
37,isn't from the group I spent thousands of dollars buying the same merch of,female,australia,bcf471a8f9b4391c7d03379b2ae24739
38,"4 years after leaving Kpop, the song I still listen to",female,australia,bcf471a8f9b4391c7d03379b2ae24739
39,@bytbytstitch yep official by konami,female,australia,bcf471a8f9b4391c7d03379b2ae24739
40,GUYS THERE'S A YU-GI-OH APP IT'S SO GREAT. NO ONE TOLD ME. I only stopped because duelists haven't spawned again lol https://t.co/A0j8thj2wY,female,australia,bcf471a8f9b4391c7d03379b2ae24739
41,Dinner at Aquacotta. My phone died taking pic of the dessert lol cries https://t.co/RetjkXMiTq,female,australia,bcf471a8f9b4391c7d03379b2ae24739
42,Board games night 🤗 https://t.co/yaOi4hdhl0,female,australia,bcf471a8f9b4391c7d03379b2ae24739
43,3INA NOW ON ASOS THIS IS THE BEST NEWS I'VE BEEN WANTING TO BUY ONLINE FOR MONTHS,female,australia,bcf471a8f9b4391c7d03379b2ae24739
44,Chocolate and oreo + glaze pretzels from Mr Pretzels. Oreo one is too much. Should've stuff to cinnamon sugar https://t.co/x5EA5O29Xw,female,australia,bcf471a8f9b4391c7d03379b2ae24739
45,OH GOSH TOO HOT TO BE ALIVE,female,australia,bcf471a8f9b4391c7d03379b2ae24739
46,Oh god guys the Modern Renaissance palette is so beautiful like my pictures don't even do it justice https://t.co/WIuCIgwVrd,female,australia,bcf471a8f9b4391c7d03379b2ae24739
47,Can the aud stop crapping so I can buy stuff online,female,australia,bcf471a8f9b4391c7d03379b2ae24739
48,My zoeva brushes just came in the mail yas. Today is a good day https://t.co/RGodQF7OhA,female,australia,bcf471a8f9b4391c7d03379b2ae24739
49,Great start to the day! My Modern Renaissance palette arrived! 😍 https://t.co/xq8m0GP575,female,australia,bcf471a8f9b4391c7d03379b2ae24739
50,This is them now https://t.co/mKX7xalm9p,female,australia,bcf471a8f9b4391c7d03379b2ae24739
51,Tu's family hatched chicks last week https://t.co/Y25V6jeIfR,female,australia,bcf471a8f9b4391c7d03379b2ae24739
52,Dammit I left my jacket at home so I'm gonna freeze on the office today,female,australia,bcf471a8f9b4391c7d03379b2ae24739
53,Why is the bee on buzz bumble drinking honey,female,australia,bcf471a8f9b4391c7d03379b2ae24739
54,Oh man some of these cny pandora charms are really cute. That Chinese lantern dangly charm aww,female,australia,bcf471a8f9b4391c7d03379b2ae24739
55,Saturday nights are for comics in a bathrobe / I still love my Black Bolt pop even though I said… https://t.co/sMlLy4SRWS,female,australia,bcf471a8f9b4391c7d03379b2ae24739
56,My locker when I came to work today omg thanks Linda for my graduation present ❤ https://t.co/1Uvn9FKCSS,female,australia,bcf471a8f9b4391c7d03379b2ae24739
57,MODERN RENAISSANCE PALETTE BACK IN STOCK YAS ORDERED,female,australia,bcf471a8f9b4391c7d03379b2ae24739
58,Charging my old tablet and hoping Dropbox is synced,female,australia,bcf471a8f9b4391c7d03379b2ae24739
59,My tablet chooses to die the night before a full solid 8 hours of teaching awesome,female,australia,bcf471a8f9b4391c7d03379b2ae24739
60,Pho mo at Barangaroo. Too hot for Pho though so I had rice https://t.co/TmZcsVp2LW,female,australia,bcf471a8f9b4391c7d03379b2ae24739
61,FML WENT TO BUY MODERN RENAISSANCE PALETTE AND IT'S OUT OF STOCK ONLINE,female,australia,bcf471a8f9b4391c7d03379b2ae24739
62,My desk at work this morning https://t.co/e3SI4bn7Xt,female,australia,bcf471a8f9b4391c7d03379b2ae24739
63,Omg you can like comments on instagram???? I have been gone too long hahahaha,female,australia,bcf471a8f9b4391c7d03379b2ae24739
64,I'm so moody today someone help me,female,australia,bcf471a8f9b4391c7d03379b2ae24739
65,@p0ptarts_ so should we not help them if they get hurt in the wild? Do they not deserve medical attention bc they aren't civilised?,female,australia,bcf471a8f9b4391c7d03379b2ae24739
66,"Assassin's Creed (at @eVent_Cinemas in Liverpool, NSW) https://t.co/tBIO12tpBs",female,australia,bcf471a8f9b4391c7d03379b2ae24739
67,"@p0ptarts_ Sorry if it seems like I'm attacking you btw, I'm not, I'm just trying to understand your mindset 🖒",female,australia,bcf471a8f9b4391c7d03379b2ae24739
68,@p0ptarts_ but how else would we learn how to help animals if we don't know how animals work?,female,australia,bcf471a8f9b4391c7d03379b2ae24739
69,"@p0ptarts_ that is a good point, never thought of that. But animals can't really sign a form.",female,australia,bcf471a8f9b4391c7d03379b2ae24739
70,@p0ptarts_ but then how do you feel about medical courses for doctors and nurses that dissect humans?,female,australia,bcf471a8f9b4391c7d03379b2ae24739
71,@p0ptarts_ the students better understand tigers so that they can help living tigers in the field? The seminar was more than just this clip,female,australia,bcf471a8f9b4391c7d03379b2ae24739
72,"@p0ptarts_ because like you, I also can't imagine being in these seminars. But I do understand why it's done and that is isn't pointless",female,australia,bcf471a8f9b4391c7d03379b2ae24739
73,@p0ptarts_ and will not benefit them in the field when they try to help real animals/humans. This is why I can't do medical courses,female,australia,bcf471a8f9b4391c7d03379b2ae24739
74,@p0ptarts_ bc it's far more useful than diagrams in a textbook. Learning how something looks in a textbook won't be useful in the career,female,australia,bcf471a8f9b4391c7d03379b2ae24739
75,@p0ptarts_ I understand that you don't like it but medical courses (both animals and humans) have these seminars,female,australia,bcf471a8f9b4391c7d03379b2ae24739
76,I like how people hate on actors and their reason is what the character did in the movie. THAT'S THE WRITER'S FAULT NOT THE ACTOR'S!?!?,female,australia,bcf471a8f9b4391c7d03379b2ae24739
77,Deathstroke is not as bad ass as you think he is. Stop.,female,australia,bcf471a8f9b4391c7d03379b2ae24739
78,@p0ptarts_ @capps_lewis @Sour_Swiss the people in the background are clearly students learning. It's probably even for a veterinary course?,female,australia,bcf471a8f9b4391c7d03379b2ae24739
79,When will I learn to stop reading the comments section. Humans are dumb,female,australia,bcf471a8f9b4391c7d03379b2ae24739
80,When fb reminds you of things that you don't want to be reminded of lol,female,australia,bcf471a8f9b4391c7d03379b2ae24739
81,Tu completely ignored what I said though lol https://t.co/YkdYWRWBwW,female,australia,bcf471a8f9b4391c7d03379b2ae24739
82,keep forgetting to trim my fringe until i get to work and it pokes me eyes constantly,female,australia,bcf471a8f9b4391c7d03379b2ae24739
83,Why is it this difficult to find a store that sells tombow brush pens? Settled for faber-castell,female,australia,bcf471a8f9b4391c7d03379b2ae24739
84,this is the dumbest move marvel has done for their comics in years https://t.co/Q1XuGXVkCu,female,australia,bcf471a8f9b4391c7d03379b2ae24739
85,And the strips 🙃 https://t.co/ntWGu4esF0,female,australia,bcf471a8f9b4391c7d03379b2ae24739
86,Photobooth 4 - the last one failed bc we didn't know when the shot would be take and moved and had to quickly go ba… https://t.co/xnToio99vA,female,australia,bcf471a8f9b4391c7d03379b2ae24739
87,Photobooth 3 https://t.co/4K5ZQPwzru,female,australia,bcf471a8f9b4391c7d03379b2ae24739
88,Photobooth 2 https://t.co/tUIEjJbTbY,female,australia,bcf471a8f9b4391c7d03379b2ae24739
89,Photobooth 1 https://t.co/rbh1F9yV43,female,australia,bcf471a8f9b4391c7d03379b2ae24739
90,"@highlightcult Sydney, Australia!",female,australia,bcf471a8f9b4391c7d03379b2ae24739
91,Couple pictures and stuff ❤ https://t.co/KSzOaWTiHA,female,australia,bcf471a8f9b4391c7d03379b2ae24739
92,Random pictures from wedding https://t.co/1kuo0XOkQ4,female,australia,bcf471a8f9b4391c7d03379b2ae24739
93,Fml the modern renaissance palette is out in Australia now???? And it's already sold out arghhh I only just saw it in stores,female,australia,bcf471a8f9b4391c7d03379b2ae24739
94,Main reason I shop at Mecca instead of Sephora tbh https://t.co/xickIfsXxA,female,australia,bcf471a8f9b4391c7d03379b2ae24739
95,Now we have to go to Blacktown from Eastwood and the ceremony starts in 20 min lelz,female,australia,bcf471a8f9b4391c7d03379b2ae24739
96,We were going in the complete opposite direction for 40 minutes guys,female,australia,bcf471a8f9b4391c7d03379b2ae24739
97,Omg so Leon has been driving to the Reception location of the wedding and now the Ceremony LOL - North Sydney instead of Blacktown,female,australia,bcf471a8f9b4391c7d03379b2ae24739
98,Made scrambled eggs for the first time guys I'm continuing to adult https://t.co/xfPSrXd8iU,female,australia,bcf471a8f9b4391c7d03379b2ae24739
99,@OseriCases will you ever start making cases for other phones as well?,female,australia,bcf471a8f9b4391c7d03379b2ae24739
0,"""Q. Whenever I write about H.I.I.T., people ask me whether intense interval training is actually better for you... https://t.co/yaLNkShYLc",female,united states,bbbecbdbf2264e5bfc4d58adc3199d3
1,Here's a short and simple article describing one anatomical reason why you may squat as you do. https://t.co/fVQZVygr6j,female,united states,bbbecbdbf2264e5bfc4d58adc3199d3
2,Getting and staying staying doesn't have to be complicated. Anyone can take advantage of the benefits of walking. https://t.co/zA7s9Ciqdf,female,united states,bbbecbdbf2264e5bfc4d58adc3199d3
3,"That time I look like Dracula  because I forgot my hat, yet this doesn't really help keep the wind from my ears.... https://t.co/0hrAfDyQIU",female,united states,bbbecbdbf2264e5bfc4d58adc3199d3
4,"Love training clients on Sunday mornings, when the gym is quiet.  

As for me, it's a rest day as I make my way... https://t.co/KtoXj8jy3u",female,united states,bbbecbdbf2264e5bfc4d58adc3199d3
5,Love energizing my workouts with an inversion first. https://t.co/NXP5MFggGB,female,united states,bbbecbdbf2264e5bfc4d58adc3199d3
6,"TGIF

Meaning: Today Gains In Fitness? Lol Yes!

Seriously, thankful it's lifting time! 

Go forth and move! 💪🏼😉",female,united states,bbbecbdbf2264e5bfc4d58adc3199d3
7,8 Make-and-Take Mason Jar Breakfasts for Busy A.M.s https://t.co/xA3HxgSbkx,female,united states,bbbecbdbf2264e5bfc4d58adc3199d3
8,"My morning smoothie was missing its greens today, so when I found this coupon in my inbox, I knew what was for... https://t.co/5YYBMuyYPz",female,united states,bbbecbdbf2264e5bfc4d58adc3199d3
9,"This type of articles always make me smile.... especially when it's  about running, lifting, swimming, biking, or... https://t.co/rJDtC7Uu2C",female,united states,bbbecbdbf2264e5bfc4d58adc3199d3
10,10 Ways to Step it Up at the Gym https://t.co/6aWbx8z52R,female,united states,bbbecbdbf2264e5bfc4d58adc3199d3
11,"How are you keeping up with your New Year's resolutions?

Do you have a way of measuring your progress?  Please... https://t.co/nW6OdEev7q",female,united states,bbbecbdbf2264e5bfc4d58adc3199d3
12,"Good morning!

Testing out a new gym today. Definitely fun to workout in a much larger facility than I'm used to.... https://t.co/dJV4jIsgY8",female,united states,bbbecbdbf2264e5bfc4d58adc3199d3
13,"@HPNationalMall I am #disspointed #poorcustomerservice. No  weddingblock room comp. charged before rep could discuss, without authorization",female,united states,bbbecbdbf2264e5bfc4d58adc3199d3
14,"Damn, love how strong I feel any time I take a week off. Push-ups, Pull-ups, 155 lb straight-leg deadlift sets,... https://t.co/QyKg7ayfh5",female,united states,bbbecbdbf2264e5bfc4d58adc3199d3
15,"It's like the words came from my mouth. Love this woman's messages!

Train hard, yet smart! Always remember, it... https://t.co/aOaTJckXTB",female,united states,bbbecbdbf2264e5bfc4d58adc3199d3
16,"Good morning!

So I've been MIA for a few days, but I'm back to you now!

It's amazing how stressful I felt in... https://t.co/R42giwzHL6",female,united states,bbbecbdbf2264e5bfc4d58adc3199d3
17,"Limit your sugar.

""The takeaway is that we should expect the consumption of different macronutrients to have... https://t.co/fAxSuT95gR",female,united states,bbbecbdbf2264e5bfc4d58adc3199d3
18,"""CLIMB MOUNTAINS ONE STEP AT A TIME."" 

As the author states ""It’s these seemingly small changes in their daily... https://t.co/DRUHp6MaCh",female,united states,bbbecbdbf2264e5bfc4d58adc3199d3
19,"I've had a stressful day, forgot my gym bag at home, and found a wine glass gift at my door. I think the signs... https://t.co/wdf6JKaDwD",female,united states,bbbecbdbf2264e5bfc4d58adc3199d3
